timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1674481283484,604,LoginPage-1,200,OK,Thread Group 1-2,text,true,,5740,123,5,5,https://blazedemo.com/login,603,0,0
1674481283293,824,RegisterPage,200,OK,Thread Group 1-5,text,true,,6573,252,5,5,https://blazedemo.com/register,339,0,0
1674481283293,339,RegisterPage-0,302,Found,Thread Group 1-5,text,true,,227,126,5,5,http://blazedemo.com/register,339,0,0
1674481283633,484,RegisterPage-1,200,OK,Thread Group 1-5,text,true,,6346,126,5,5,https://blazedemo.com/register,454,0,0
1674481283297,874,LoginPage,200,OK,Thread Group 1-1,text,true,,5972,246,5,5,https://blazedemo.com/login,274,0,0
1674481283297,274,LoginPage-0,302,Found,Thread Group 1-1,text,true,,224,123,5,5,http://blazedemo.com/login,274,0,0
1674481283571,600,LoginPage-1,200,OK,Thread Group 1-1,text,true,,5748,123,5,5,https://blazedemo.com/login,591,0,0
1674481283409,847,HomePage,200,OK,Thread Group 1-4,text,true,,4976,236,5,5,https://blazedemo.com/,298,0,0
1674481283409,298,HomePage-0,302,Found,Thread Group 1-4,text,true,,219,118,5,5,http://blazedemo.com/,298,0,0
1674481283707,549,HomePage-1,200,OK,Thread Group 1-4,text,true,,4757,118,5,5,https://blazedemo.com/,542,0,0
1674481283980,636,HomePage,200,OK,Thread Group 1-3,text,true,,4976,236,5,5,https://blazedemo.com/,261,0,0
1674481283980,261,HomePage-0,302,Found,Thread Group 1-3,text,true,,219,118,5,5,http://blazedemo.com/,261,0,0
1674481284241,375,HomePage-1,200,OK,Thread Group 1-3,text,true,,4757,118,5,5,https://blazedemo.com/,368,0,0
1674481284089,673,RegisterPage,200,OK,Thread Group 1-2,text,true,,6569,252,5,5,https://blazedemo.com/register,269,0,0
1674481284089,269,RegisterPage-0,302,Found,Thread Group 1-2,text,true,,227,126,5,5,http://blazedemo.com/register,269,0,0
1674481284359,403,RegisterPage-1,200,OK,Thread Group 1-2,text,true,,6342,126,5,5,https://blazedemo.com/register,379,0,0
1674481284118,724,HomePage,200,OK,Thread Group 1-5,text,true,,4976,236,4,4,https://blazedemo.com/,372,0,0
1674481284118,372,HomePage-0,302,Found,Thread Group 1-5,text,true,,219,118,4,4,http://blazedemo.com/,372,0,0
1674481284490,352,HomePage-1,200,OK,Thread Group 1-5,text,true,,4757,118,4,4,https://blazedemo.com/,349,0,0
1674481284172,673,RegisterPage,200,OK,Thread Group 1-1,text,true,,6575,252,4,4,https://blazedemo.com/register,257,0,0
