timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1674477154065,691,HomePage,200,OK,Thread Group 1-4,text,true,,4976,236,5,5,https://blazedemo.com/,270,0,0
1674477154065,270,HomePage-0,302,Found,Thread Group 1-4,text,true,,219,118,5,5,http://blazedemo.com/,270,0,0
1674477154335,421,HomePage-1,200,OK,Thread Group 1-4,text,true,,4757,118,5,5,https://blazedemo.com/,418,0,0
1674477154271,654,RegisterPage,200,OK,Thread Group 1-1,text,true,,6571,252,5,5,https://blazedemo.com/register,268,0,0
1674477154271,268,RegisterPage-0,302,Found,Thread Group 1-1,text,true,,227,126,5,5,http://blazedemo.com/register,268,0,0
1674477154539,386,RegisterPage-1,200,OK,Thread Group 1-1,text,true,,6344,126,5,5,https://blazedemo.com/register,366,0,0
1674477154496,637,HomePage,200,OK,Thread Group 1-5,text,true,,4976,236,4,4,https://blazedemo.com/,272,0,0
1674477154496,272,HomePage-0,302,Found,Thread Group 1-5,text,true,,219,118,4,4,http://blazedemo.com/,272,0,0
1674477154768,365,HomePage-1,200,OK,Thread Group 1-5,text,true,,4757,118,4,4,https://blazedemo.com/,358,0,0
1674477154336,797,LoginPage,200,OK,Thread Group 1-3,text,true,,5964,246,4,4,https://blazedemo.com/login,266,0,0
1674477154336,266,LoginPage-0,302,Found,Thread Group 1-3,text,true,,224,123,4,4,http://blazedemo.com/login,266,0,0
1674477154602,531,LoginPage-1,200,OK,Thread Group 1-3,text,true,,5740,123,4,4,https://blazedemo.com/login,528,0,0
1674477154616,664,RegisterPage,200,OK,Thread Group 1-2,text,true,,6571,252,4,4,https://blazedemo.com/register,265,0,0
1674477154616,265,RegisterPage-0,302,Found,Thread Group 1-2,text,true,,227,126,4,4,http://blazedemo.com/register,265,0,0
1674477154882,398,RegisterPage-1,200,OK,Thread Group 1-2,text,true,,6344,126,4,4,https://blazedemo.com/register,373,0,0
